Income_Category,num__Customer_Age,num__Dependent_count,num__Months_on_book,num__Total_Relationship_Count,num__Months_Inactive_12_mon,num__Contacts_Count_12_mon,num__Credit_Limit,num__Total_Revolving_Bal,num__Avg_Open_To_Buy,num__Total_Amt_Chng_Q4_Q1,num__Total_Trans_Amt,num__Total_Trans_Ct,num__Total_Ct_Chng_Q4_Q1,num__Avg_Utilization_Ratio,cat__Gender_F,cat__Gender_M,cat__Education_Level_College,cat__Education_Level_Doctorate,cat__Education_Level_Graduate,cat__Education_Level_High School,cat__Education_Level_Post-Graduate,cat__Education_Level_Uneducated,cat__Education_Level_Unknown,cat__Marital_Status_Divorced,cat__Marital_Status_Married,cat__Marital_Status_Single,cat__Marital_Status_Unknown,cat__Income_Category_$120K +,cat__Income_Category_$40K - $60K,cat__Income_Category_$60K - $80K,cat__Income_Category_$80K - $120K,cat__Income_Category_Less than $40K,cat__Income_Category_Unknown,cat__Card_Category_Blue,cat__Card_Category_Gold,cat__Card_Category_Platinum,cat__Card_Category_Silver
$120K+,0.03197521683983697,0.0013674969536525122,0.027453405019997892,0.09717571367798732,0.00853378707819829,0.05390238627367803,0.0009818500203749036,0.1473573496528014,0.0032327665845737065,0.003306340533916724,0.01799388274106307,0.11957769367923558,0.06984411442472903,0.014905730353413405,0.012808964690437564,0.013088643850019793,1.3053911005176365e-05,0.0009451568831220667,0.0004792097653113042,0.0002700454904773623,0.00036698550451050077,0.0003657611356409772,0.0005142694728877234,0.00027970835834014975,0.004837540116975756,0.003286768131275082,3.4759216545149925e-05,0.00018540707938794173,0.0013006171026609683,0.0006105060210576865,0.0004971237293415397,0.0030989806591962244,0.000619463594956143,0.00021997878192387814,0.00019301439814456474,1.1786202249256287e-05,5.336957860254344e-07
$40K - $60K,0.005522668233053009,0.0005389048538464917,0.0012167687406025123,0.015002399617885933,0.0032832621884527026,0.1914646104728471,0.001678819897286454,0.06969539442844601,0.0015145653447877867,0.01628966479331894,0.007821296110286275,0.10474239177440132,0.057678556352091744,0.026562954693071412,0.019027315530050572,0.015153453655159271,0.0003490515659228781,0.00026188903954859624,0.0008981959234193779,0.001533991191046651,0.0003011803610198801,0.0008783955638776344,0.00016484991199016525,0.010941839106009876,0.0010252573643774671,0.0011300292393829688,0.00036856815324587915,0.0008140243089128952,0.003939263276588913,8.430444272100403e-05,0.000655750720933042,0.004556399590365568,0.00013483404428655304,0.006408832299955538,0.000150918107928164,1.8833364058496536e-05,0.008307097865806906
$60K - $80K,0.02428170826435284,0.03155830441105918,0.006072606162178998,0.1274752215310658,0.013238628795899736,0.062323955311334694,0.004593751991855554,0.06162635261657404,0.006595983348246067,0.027354753254129394,0.05488553119974179,0.14809170008810246,0.08610753857180067,0.0280635075366805,0.005185190405101374,0.007823703415303956,0.00033041582945556226,0.0003485115988963613,0.005949407967085586,0.0004778086943487579,0.00016880979756048016,7.797556206152353e-05,0.0008915704563237954,0.000264083262787013,0.0020362543649830554,0.00219201999718127,0.00012439247236833403,7.108831417498524e-05,0.0013343668840990655,0.01109387737390647,5.258196094702658e-06,0.0062013161509688825,0.00026025694711248837,1.719259050385951e-05,0.00016476918228498135,2.084795098440264e-05,7.378581998517646e-05
$80K - $120K,0.10729668052358868,0.03167930663301215,0.012670759899335991,0.030735179522020886,0.014287410743698548,0.018620937499813212,0.010263860586605934,0.12242441381874833,0.00697404238561698,0.006404529845981602,0.07299883749115854,0.14305685277037292,0.0959561799646285,0.044867593092224774,0.015352701094433888,0.01715788858489263,0.00037485072801991495,0.0005716218176050924,0.006361409502650566,0.00022313275330335003,0.00039052799378575144,4.7925228365245164e-05,0.0005841957478966966,0.00014068024927325415,0.010165940354414834,0.012355837351785227,0.0007832936894272967,0.0003456101830336908,0.0009903504977482052,0.00012283100050381292,0.007810085434045643,0.00882794602111986,0.0009761961335732771,4.612695577332317e-05,0.0002693536100380575,1.992010212351468e-05,7.793782229469396e-05
Less than $40K,0.014663657143997366,0.012936045306671784,0.006395366992946731,0.07792060270619586,0.05596322121148578,0.025444188688741355,0.006987637627424284,0.049274810122381,0.01760261121854747,0.010747149791193858,0.07494240260800744,0.1336887239413325,0.07599883559927496,0.03666965862747019,0.006956118689282755,0.0077189604524415655,0.0022739655964212875,0.0006709609414041584,0.002476556790221681,0.004367215240564035,0.000433007750631016,0.001138683544140602,0.0024434744833333826,0.003514432735966656,0.011646348480450378,0.011153445515321825,0.0002906132186469534,0.0002517070220352779,0.0010125363719233759,0.000997981296152977,0.0008874587251441263,0.0018856167760380922,0.0008402133284481297,0.000576527264718064,0.0017673882034985149,2.0369978260263947e-05,0.00017236399078095302
